contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Option_Type,Symbol,Expiry,Fetched_At,Data_Type
SPXW250924C06125000,2025-09-04 15:15:29+00:00,6125.0,366.35,364.4,388.4,0.0,0.0,1.0,1,0.25416166378021243,True,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06225000,2025-09-04 15:15:29+00:00,6225.0,274.13,270.5,294.5,0.0,0.0,2.0,2,0.2198945809173584,True,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06275000,2025-09-04 15:15:29+00:00,6275.0,229.76,225.0,249.0,0.0,0.0,1.0,3,0.2034686587524414,True,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06310000,2025-08-25 14:13:22+00:00,6310.0,202.69,193.9,209.9,0.0,0.0,,1,0.17524018127441404,True,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06325000,2025-08-29 15:01:44+00:00,6325.0,183.98,180.9,196.9,0.0,0.0,1.0,0,0.17106312953948977,True,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06330000,2025-08-29 15:01:44+00:00,6330.0,179.87,176.4,192.4,0.0,0.0,1.0,2,0.1692511664581299,True,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06340000,2025-09-04 18:03:06+00:00,6340.0,187.33,167.9,183.9,0.0,0.0,6.0,7,0.16655420246124275,True,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06350000,2025-09-02 16:44:28+00:00,6350.0,115.0,159.5,175.5,0.0,0.0,49.0,52,0.1638877557373047,True,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06375000,2025-09-04 18:51:00+00:00,6375.0,159.93,142.7,158.7,0.0,0.0,40.0,125,0.1644179933547974,True,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06380000,2025-09-04 14:55:15+00:00,6380.0,141.0,138.6,154.6,0.0,0.0,1.0,29,0.16292646163940433,True,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06390000,2025-09-03 19:15:31+00:00,6390.0,107.78,136.5,137.6,0.0,0.0,1.0,5,0.14344118286132812,True,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06400000,2025-09-05 18:03:45+00:00,6400.0,118.7,128.5,129.6,-19.87001,-14.33933,45.0,724,0.1407404042053223,True,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06410000,2025-09-05 17:31:21+00:00,6410.0,117.2,120.7,121.8,-5.510002,-4.4902635,42.0,46,0.13817313861846925,True,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06420000,2025-09-05 17:31:21+00:00,6420.0,109.7,113.0,114.1,-7.130005,-6.1028886,4.0,8,0.13553720916748052,True,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06425000,2025-09-05 19:48:55+00:00,6425.0,108.42,109.2,110.3,-10.889999,-9.127482,2.0,41,0.13420970779418945,True,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06430000,2025-09-05 19:48:55+00:00,6430.0,104.82,105.5,106.6,29.519997,39.203182,4.0,36,0.13299283153533936,True,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06440000,2025-09-05 15:32:33+00:00,6440.0,94.62,98.1,99.2,-26.879997,-22.123455,20.0,13,0.13034927276611324,True,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06450000,2025-09-05 20:08:53+00:00,6450.0,91.29,91.0,91.8,7.790001,9.329342,172.0,66,0.12741198524475097,True,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06460000,2025-09-05 15:47:06+00:00,6460.0,83.01,84.0,85.1,-16.059998,-16.210756,61.0,38,0.125365420627594,True,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06470000,2025-09-05 20:08:53+00:00,6470.0,77.51,77.3,78.4,-3.699997,-4.5560856,95.0,42,0.12298316600799562,True,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06475000,2025-09-05 17:22:42+00:00,6475.0,73.47,74.0,75.1,-11.260002,-13.289274,115.0,47,0.12174721645355226,True,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06480000,2025-09-05 20:04:23+00:00,6480.0,72.43,70.8,71.9,-12.75,-14.968303,9.0,33,0.12058756008148193,True,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06490000,2025-09-05 14:37:19+00:00,6490.0,63.94,64.6,65.7,-2.8100014,-4.2097397,3.0,15,0.11832928188323975,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06500000,2025-09-05 20:04:23+00:00,6500.0,60.27,58.7,59.8,-10.359997,-14.667985,10.0,80,0.11618353612899779,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06510000,2025-09-05 19:30:14+00:00,6510.0,54.98,53.1,54.2,-17.619999,-24.269972,6.0,58,0.1141350641822815,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06520000,2025-09-05 19:30:14+00:00,6520.0,49.57,47.8,48.9,-10.580002,-17.589361,8.0,26,0.11216479274749754,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06525000,2025-09-05 19:47:52+00:00,6525.0,44.4,45.2,46.3,-16.399998,-26.97368,20.0,58,0.11109668819427489,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06530000,2025-09-05 13:34:44+00:00,6530.0,71.08,42.8,43.9,35.670002,100.73426,6.0,15,0.11026127784729003,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06540000,2025-09-05 16:47:51+00:00,6540.0,36.65,38.1,39.2,-7.049999,-16.13272,1.0,72,0.10841307550430299,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06550000,2025-09-05 19:16:49+00:00,6550.0,35.0,33.8,34.5,-9.200001,-20.814482,303.0,761,0.10604989418029784,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06560000,2025-09-05 13:34:44+00:00,6560.0,27.6,29.8,30.8,-7.370001,-21.075209,5.0,59,0.10502756553649903,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06570000,2025-09-05 14:41:54+00:00,6570.0,26.9,26.1,27.1,-11.699999,-30.310879,5.0,30,0.10349407257080076,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06575000,2025-09-05 14:34:55+00:00,6575.0,26.48,24.4,25.4,-10.950001,-29.25461,7.0,86,0.10282269256591797,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06580000,2025-09-05 15:25:40+00:00,6580.0,23.22,22.7,23.7,-7.550001,-24.53689,8.0,22,0.10201017017364501,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06590000,2025-09-05 05:52:49+00:00,6590.0,35.24,19.7,20.6,13.020002,58.59587,3.0,27,0.10058348766326904,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06600000,2025-09-05 18:26:48+00:00,6600.0,18.2,16.9,17.8,-8.599998,-32.089546,18.0,230,0.0992330983352661,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06625000,2025-09-05 19:15:35+00:00,6625.0,11.98,11.3,12.2,-7.17,-37.441254,12.0,266,0.09664294479370117,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06650000,2025-09-05 18:05:21+00:00,6650.0,7.21,7.3,8.0,-1.21,-14.370547,11.0,267,0.09414815773010254,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06675000,2025-09-05 19:13:15+00:00,6675.0,5.02,4.6,5.1,-4.1299996,-45.13661,8.0,282,0.09222556953430175,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06700000,2025-09-05 19:24:53+00:00,6700.0,3.4,2.9,3.3,-2.4699998,-42.07836,22.0,288,0.09156181884765624,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06725000,2025-09-05 17:42:01+00:00,6725.0,2.1,1.75,2.1,-1.3300002,-38.775517,3.0,114,0.09118035293579102,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06750000,2025-09-05 19:56:42+00:00,6750.0,1.25,1.05,1.55,-0.54999995,-30.555552,5.0,42,0.09349966567993165,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06775000,2025-09-05 16:19:07+00:00,6775.0,0.96,0.6,1.1,-0.33999997,-26.153845,11.0,67,0.0951933743286133,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06800000,2025-09-04 17:19:41+00:00,6800.0,0.7,0.35,0.85,-0.19999999,-22.222221,2.0,41,0.09806199798583985,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06825000,2025-09-05 13:40:42+00:00,6825.0,1.25,0.25,0.6,-0.29999995,-19.354837,72.0,2,0.09961837890625,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06850000,2025-08-28 13:45:45+00:00,6850.0,1.34,0.15,0.55,0.0,0.0,,3,0.10450114257812498,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06875000,2025-09-04 19:48:09+00:00,6875.0,0.45,0.05,0.45,0.0,0.0,16.0,17,0.1077359735107422,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C06900000,2025-09-04 19:47:10+00:00,6900.0,0.35,0.0,0.4,0.0,0.0,2.0,4,0.11194735717773435,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C07000000,2025-09-04 13:47:09+00:00,7000.0,0.3,0.0,0.3,0.15,100.0,2.0,14,0.13013565185546871,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C07100000,2025-08-28 19:59:57+00:00,7100.0,0.3,0.0,0.25,0.0,0.0,,12,0.148446015625,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C07200000,2025-09-03 13:51:25+00:00,7200.0,0.1,0.0,0.25,0.0,0.0,600.0,601,0.16858741577148442,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C07400000,2025-08-27 16:48:25+00:00,7400.0,0.15,0.0,0.25,0.0,0.0,,15,0.20752745605468748,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
SPXW250924C08000000,2025-08-19 19:53:10+00:00,8000.0,0.1,0.0,0.2,0.0,0.0,,2,0.3086006640625,False,REGULAR,USD,call,^SPX,2025-09-24,2025-09-06 12:54:47.863686,options
