contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Option_Type,Symbol,Expiry,Fetched_At,Data_Type
SPX251219P00200000,2025-08-25 14:51:15+00:00,200.0,0.03,0.0,0.0,0.0,0.0,2.0,5303,0.500005,False,REGULAR,USD,put,^SPX,2025-12-19,2025-09-06 12:54:50.790314,options
SPX251219P00400000,2025-08-26 19:08:59+00:00,400.0,0.03,0.0,0.0,0.0,0.0,6.0,3604,0.500005,False,REGULAR,USD,put,^SPX,2025-12-19,2025-09-06 12:54:50.790314,options
SPX251219P00500000,2025-07-31 13:30:43+00:00,500.0,0.07,0.0,0.2,0.0,0.0,3.0,988,1.39453427734375,False,REGULAR,USD,put,^SPX,2025-12-19,2025-09-06 12:54:50.790314,options
SPX251219P00600000,2025-09-05 16:15:22+00:00,600.0,0.05,0.0,0.2,0.0,0.0,10.0,4391,1.29297228515625,False,REGULAR,USD,put,^SPX,2025-12-19,2025-09-06 12:54:50.790314,options
SPX251219P00800000,2025-09-04 18:46:00+00:00,800.0,0.05,0.0,0.25,-0.05,-50.0,3.0,9402,1.1533245458984376,False,REGULAR,USD,put,^SPX,2025-12-19,2025-09-06 12:54:50.790314,options
SPX251219P01000000,2025-09-05 16:13:38+00:00,1000.0,0.15,0.0,0.3,0.050000004,50.000008,33.0,17988,1.0429735351562504,False,REGULAR,USD,put,^SPX,2025-12-19,2025-09-06 12:54:50.790314,options
SPX251219P01200000,2025-09-05 19:41:07+00:00,1200.0,0.17,0.0,0.35,0.019999996,13.333329,18.0,9430,0.9521489160156249,False,REGULAR,USD,put,^SPX,2025-12-19,2025-09-06 12:54:50.790314,options
SPXW251219P01400000,2025-09-05 18:50:41+00:00,1400.0,0.25,0.1,0.45,-0.099999994,-28.571426,12.0,170,0.8964854101562498,False,REGULAR,USD,put,^SPX,2025-12-19,2025-09-06 12:54:50.790314,options
SPXW251219P01600000,2025-09-05 13:08:39+00:00,1600.0,0.3,0.2,0.55,-0.14999998,-33.33333,2.0,69,0.8405777661132812,False,REGULAR,USD,put,^SPX,2025-12-19,2025-09-06 12:54:50.790314,options
SPX251219P01800000,2025-09-05 19:11:35+00:00,1800.0,0.5,0.3,0.7,0.0,0.0,240.0,8896,0.7902853002929688,False,REGULAR,USD,put,^SPX,2025-12-19,2025-09-06 12:54:50.790314,options
SPX251219P02000000,2025-09-05 14:41:46+00:00,2000.0,0.8,0.45,0.9,0.100000024,14.285718,4.0,20125,0.7464624963378907,False,REGULAR,USD,put,^SPX,2025-12-19,2025-09-06 12:54:50.790314,options
SPX251219P02200000,2025-09-05 16:12:56+00:00,2200.0,0.9,0.7,1.1,-0.050000012,-5.2631593,7.0,8155,0.7064238342285156,False,REGULAR,USD,put,^SPX,2025-12-19,2025-09-06 12:54:50.790314,options
SPX251219P02400000,2025-09-05 14:39:50+00:00,2400.0,1.35,0.95,1.45,0.05000007,3.8461595,1.0,8711,0.6701693139648439,False,REGULAR,USD,put,^SPX,2025-12-19,2025-09-06 12:54:50.790314,options
SPX251219P02500000,2025-09-05 18:14:00+00:00,2500.0,1.5,1.1,1.6,-0.049999952,-3.2258034,10.0,21964,0.651492742919922,False,REGULAR,USD,put,^SPX,2025-12-19,2025-09-06 12:54:50.790314,options
SPX251219P02600000,2025-09-04 15:07:07+00:00,2600.0,1.7,1.3,1.8,0.0,0.0,1.0,8701,0.634891346435547,False,REGULAR,USD,put,^SPX,2025-12-19,2025-09-06 12:54:50.790314,options
SPX251219P02700000,2025-09-05 17:41:03+00:00,2700.0,1.9,1.5,2.0,0.0,0.0,2.0,3397,0.6178627081298829,False,REGULAR,USD,put,^SPX,2025-12-19,2025-09-06 12:54:50.790314,options
SPXW251219P02800000,2025-09-05 15:33:59+00:00,2800.0,2.14,1.8,2.2,0.00999999,0.4694831,14.0,125,0.6021768298339845,False,REGULAR,USD,put,^SPX,2025-12-19,2025-09-06 12:54:50.790314,options
SPX251219P02900000,2025-09-02 18:40:09+00:00,2900.0,2.15,1.95,2.5,-0.9499998,-30.645157,5.0,2494,0.5853312951660157,False,REGULAR,USD,put,^SPX,2025-12-19,2025-09-06 12:54:50.790314,options
SPX251219P03000000,2025-09-05 17:37:34+00:00,3000.0,2.55,2.2,2.75,-0.049999952,-1.9230751,258.0,31655,0.5689740368652343,False,REGULAR,USD,put,^SPX,2025-12-19,2025-09-06 12:54:50.790314,options
SPX251219P03100000,2025-09-04 19:47:04+00:00,3100.0,3.0,2.5,3.0,0.099999905,3.4482725,2.0,24669,0.5529829858398438,False,REGULAR,USD,put,^SPX,2025-12-19,2025-09-06 12:54:50.790314,options
SPX251219P03200000,2025-09-05 19:18:18+00:00,3200.0,3.1,2.8,3.4,-0.10000014,-3.1250045,1070.0,16815,0.5383652120971681,False,REGULAR,USD,put,^SPX,2025-12-19,2025-09-06 12:54:50.790314,options
SPX251219P03250000,2025-09-05 19:59:38+00:00,3250.0,3.3,3.1,3.6,-0.89999986,-21.428568,2.0,1768,0.5323533093261719,False,REGULAR,USD,put,^SPX,2025-12-19,2025-09-06 12:54:50.790314,options
SPXW251219P03300000,2025-09-05 16:23:55+00:00,3300.0,3.8,3.3,3.8,0.20000005,5.5555573,4.0,2101,0.5251512329101562,False,REGULAR,USD,put,^SPX,2025-12-19,2025-09-06 12:54:50.790314,options
SPX251219P03350000,2025-09-03 19:41:27+00:00,3350.0,4.4,3.3,4.0,0.0,0.0,31.0,1715,0.5161181201171875,False,REGULAR,USD,put,^SPX,2025-12-19,2025-09-06 12:54:50.790314,options
SPX251219P03400000,2025-09-05 15:58:01+00:00,3400.0,4.16,3.6,4.2,0.15999985,3.9999962,182.0,6922,0.5096484582519532,False,REGULAR,USD,put,^SPX,2025-12-19,2025-09-06 12:54:50.790314,options
SPX251219P03450000,2025-09-03 19:28:16+00:00,3450.0,5.0,3.8,4.4,0.0,0.0,82.0,1026,0.5022022436523439,False,REGULAR,USD,put,^SPX,2025-12-19,2025-09-06 12:54:50.790314,options
SPXW251219P03500000,2025-09-02 13:32:10+00:00,3500.0,6.7,4.2,4.7,0.0,0.0,1.0,348,0.5003712072753908,False,REGULAR,USD,put,^SPX,2025-12-19,2025-09-06 12:54:50.790314,options
